,dayPost,timePost,codeAd,nameBike,valueBike,city,neighborhood,cep,urlBike
0,05/08,19:31,1061500326.0,Bike fixa ViciniTech ,0.0,Taubaté,Vila São José,12070630.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-fixa-vicinitech-1061500326
1,05/08,15:01,1064146437.0,BIKE FIXA - FIXED GEAR,0.0,São José dos Campos,Jardim Altos de Santana,12214000.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-fixa-fixed-gear-1064146437
2,05/08,09:58,1067415841.0,Bike fixa/Single,0.0,São Paulo,Jardim Regina,4905002.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-single-1067415841
3,04/08,19:33,1067220011.0,Peças para bicicleta Fixa single speed,0.0,São Paulo,Vila União (Zona Leste),3683000.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pecas-para-bicicleta-fixa-single-speed-1067220011
4,03/08,12:52,1060743534.0,Bicicleta fixa Cernunnos Avalon,0.0,São Paulo,Vila Buarque,1226003.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-fixa-cernunnos-avalon-1060743534
5,01/08,21:32,1057016098.0,Bike fixa/single,0.0,Registro,undef,11900000.0,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bike-fixa-single-1057016098
6,30/07,11:55,1064828740.0,Bike Speed Fixa Vicinitech V1 Nexus 7 ,0.0,São Vicente,Centro,11320040.0,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bike-speed-fixa-vicinitech-v1-nexus-7-1064828740
7,26/07,23:11,1026724308.0,Gancho De Parede Suporte Para Bike Bicicleta Com Apoio Atrio bucha e parafuso ,0.0,Santos,Vila Mathias,11075320.0,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/gancho-de-parede-suporte-para-bike-bicicleta-com-apoio-atrio-bucha-e-parafuso-1026724308
8,22/07,10:54,1061408842.0,Bike fixa standart,0.0,São Paulo,Bom Retiro,1126020.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-standart-1061408842
9,18/07,19:27,1059772640.0,Bike fixa Caloi 10 ano 1979,0.0,São Paulo,Americanópolis,4429030.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-caloi-10-ano-1979-1059772640
10,18/07,18:49,1059737697.0,Bike fixa Caloi 10 ano 1979,0.0,São Paulo,Americanópolis,4429030.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-fixa-caloi-10-ano-1979-1059737697
11,01/08,15:56,1065583063.0,Bicicleta Hunter Inc Riva (Caloi Cruiser),0.0,Mairinque,undef,18120000.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-hunter-inc-riva-caloi-cruiser-1065583063
12,01/08,15:51,1065581115.0,BICICLETA RIVA BASEMENT ,0.0,Santo André,Campestre,9080501.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-riva-basement-1065581115
