,diaPostagem,hora,codigo,nomeAds,precoAds,cidade,bairro,cep,urlAds
0,6 abr,13:19,1016932220,Radio e Vitrola telefunken antiga. ,3500.0,Juiz de Fora, Centro - DDD 32,36015160,https://mg.olx.com.br/regiao-de-juiz-de-fora/objetos-de-decoracao/radio-e-vitrola-telefunken-antiga-1016932220
1,4 abr,20:48,1016194176,Vitrola Philips ,420.0,Contagem, Industrial - DDD 31,32235150,https://mg.olx.com.br/belo-horizonte-e-regiao/objetos-de-decoracao/vitrola-philips-1016194176
2,,,,,,,,,
3,28 mar,16:01,991315846,Vitrola Ravel sonata novinha na caixa,500.0,Belo Horizonte, Alípio de Melo - DDD 31,30830510,https://mg.olx.com.br/belo-horizonte-e-regiao/objetos-de-decoracao/vitrola-ravel-sonata-novinha-na-caixa-991315846
4,28 mar,10:34,878429183,vitrola pulse,449.0,Timóteo, Recanto Verde - DDD 31,35181548,https://mg.olx.com.br/belo-horizonte-e-regiao/eletrodomesticos/vitrola-pulse-878429183
5,20 mar,19:52,970410683,Vitrola,2500.0,Uberlândia, Osvaldo Rezende - DDD 34,38400454,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/eletrodomesticos/vitrola-970410683
6,14 mar,09:58,1006566061,Móvel rádio vitrola ,7800.0,Belo Horizonte, Piratininga (Venda Nova) - DDD 31,31570430,https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/movel-radio-vitrola-1006566061
7,10 mar,22:07,1005263843,Antiguidade - Móvel radiola / vitrola Philips ,1900.0,Nova Lima, Vale do Sol - DDD 31,34011138,https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/antiguidade-movel-radiola-vitrola-philips-1005263843
8,10 mar,18:28,1005182439,"Box, radio vitrola, antiguidade ",0.0,Juiz de Fora, Milho Branco - DDD 32,36083000,https://mg.olx.com.br/regiao-de-juiz-de-fora/moveis/box-radio-vitrola-antiguidade-1005182439
9,,,,,,,,,
10,10 mar,13:04,1004986555,Rack Antiga Para Som e Vitrola,299.0,Belo Horizonte, Palmares - DDD 31,31155740,https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/rack-antiga-para-som-e-vitrola-1004986555
