,diaPostagem,hora,codigo,nomeBike,precoBike,cidade,bairro,cep,urlBike
0,,,1015479859,Manetes de freio Bicicleta elétrica,, , ,04023000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/manetes-de-freio-bicicleta-eletrica-1015479859
1,,,1000739785,Bicicleta Elétrica Sousa 350w azul,, , ,13290000,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-eletrica-sousa-350w-azul-1000739785
2,,,,,,,,,
3,,,1003573171,Bicicleta Scott Rc900 Team - TAM M carbono - Roval,, , ,18119375,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bicicleta-scott-rc900-team-tam-m-carbono-roval-1003573171
4,,,1013489205,Bicicleta Eletrica Dafra Vex,, , ,05416002,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-dafra-vex-1013489205
5,,,1013483058,Bicicleta Elétrica Pouco Uso c/ Bateria 0 KM ,, , ,04726000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-pouco-uso-c-bateria-0-km-1013483058
6,,,1011658691,Bicicleta elétrica tailg ranger ,, , ,13615610,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-eletrica-tailg-ranger-1011658691
7,,,1009240551,Bicicleta Elétrica Liberty Lithium 350W,, , ,11700460,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-eletrica-liberty-lithium-350w-1009240551
8,,,1009686595,Bicicleta Elétrica - à Vista - De Sto. André-SP,, , ,09230420,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-a-vista-de-sto-andre-sp-1009686595
9,,,,,,,,,
10,,,1011006648,Vendo bicicleta elétrica ,, , ,13087510,https://sp.olx.com.br/grande-campinas/ciclismo/vendo-bicicleta-eletrica-1011006648
11,,,1009963075,Bicicleta Elétrica Liberty Lithium 350W,, , ,11700460,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-eletrica-liberty-lithium-350w-1009963075
12,,,1013331060,"Patinete elétrico, freego es10(retirar em São Miguel paulista)",, , ,08081160,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/patinete-eletrico-freego-es10-retirar-em-sao-miguel-paulista-1013331060
13,,,1010721337,Bicicleta eletrica,, , ,16800000,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/bicicleta-eletrica-1010721337
14,,,993684115,Bicicleta Elétrica ,, , ,13848565,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-eletrica-993684115
15,,,1014297147,Venda,, , ,05791070,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/venda-1014297147
16,,,1014327037,Venda ,, , ,05791070,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/venda-1014327037
17,,,1014455450,Bicicleta elétrica,, , ,19570000,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/bicicleta-eletrica-1014455450
18,,,,,,,,,
19,,,1015424491,Bicicleta Elétrica OGGI BW 8.0 Tam 17 ,, , ,12281490,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-eletrica-oggi-bw-8-0-tam-17-1015424491
20,,,1010809844,Patinete elétrico/também vendo as peças ,, , ,08090650,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/patinete-eletrico-tambem-vendo-as-pecas-1010809844
21,,,1004871268,Bicicleta E-Bike Oggi Lite Tour E-500 Shimano Acera - M,, , ,13290000,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-e-bike-oggi-lite-tour-e-500-shimano-acera-m-1004871268
22,,,1012797977,Bicicleta elétrica dobravel - Rio South,, , ,13201804,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-dobravel-rio-south-1012797977
23,,,1006930505,Bicicleta elétrica Nature Bike,, , ,11700000,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-eletrica-nature-bike-1006930505
24,,,1009260815,Aparelho Elíptico seminovo,, , ,09861120,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/aparelho-eliptico-seminovo-1009260815
25,,,,,,,,,
26,,,1013568282,Bicicleta elétrica,, , ,11350250,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/bicicleta-eletrica-1013568282
27,,,1009788799,Bicicleta elétrica 800 watts Scooter Brasil ,, , ,15047273,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/bicicleta-eletrica-800-watts-scooter-brasil-1009788799
28,,,1014643460,E-Bike Lev L,, , ,04546000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/e-bike-lev-l-1014643460
29,,,1010807430,"Bicicleta Elétrica aro 26 R$2300,00",, , ,18113200,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bicicleta-eletrica-aro-26-r-2300-00-1010807430
30,,,1015375859,Bateria recarregável  para estacionária  e bicicleta ,, , ,13349766,https://sp.olx.com.br/grande-campinas/ciclismo/bateria-recarregavel-para-estacionaria-e-bicicleta-1015375859
31,,,887118501,Bicicleta Elétrica Trek Domane LT ,, , ,12246840,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-eletrica-trek-domane-lt-887118501
32,,,1005244618,Bicicleta elétrica Cargo ,, , ,03276000,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-cargo-1005244618
33,,,,,,,,,
34,,,1015343708,Bicicleta Elétrica só R$3 mil em 10x no cartão ,, , ,18074585,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/bicicleta-eletrica-so-r-3-mil-em-10x-no-cartao-1015343708
35,,,998428527,Bicicleta eletrética dobrável Multilaser.,, , ,05003040,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletretica-dobravel-multilaser-998428527
