,diaPostagem,hora,codigo,nomeBike,precoBike,cidade,bairro,cep,urlBike
0,02 Apr,08:11,1015224353.0,BICICLETA ELÉTRICA SONNY,4300.0,São Paulo, Higienópolis - DDD 11,1238000.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-sonny-1015224353
1,02 Apr,01:52,1015159526.0,Scooter elétrica 1500w em ótimo estado,6799.0,Assis, Centro - DDD 18,19806130.0,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/scooter-eletrica-1500w-em-otimo-estado-1015159526
2,01 Apr,23:07,1015127824.0,"Bicicleta / Bike Elétrica Sense - Alumínio, Shimano / 2020<br>",5900.0,São Paulo, Jardim Planalto - DDD 11,3984010.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-bike-eletrica-sense-aluminio-shimano-2020-br-1015127824
3,01 Apr,22:31,1006052441.0,"Bicicleta elétrica. (pneu maciço, não fura)",2200.0,São Paulo, Jardim Helena - DDD 11,8081160.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-pneu-macico-nao-fura-1006052441
4,01 Apr,22:29,1015117763.0,"Bicicleta elétrica E-clube prata novinha,pouquíssimo tempo de uso!!",1500.0,São Paulo, Cambuci - DDD 11,1538000.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-eletrica-e-clube-prata-novinha-pouquissimo-tempo-de-uso-1015117763
5,01 Apr,22:02,1012898309.0,Pra vender rápido bicicleta elétrica só pegar e andar baterias nova,2000.0,São Paulo, Vila Granada - DDD 11,3622030.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pra-vender-rapido-bicicleta-eletrica-so-pegar-e-andar-baterias-nova-1012898309
6,01 Apr,21:01,1008688328.0,Bicicleta elétrica aro 20,2000.0,Piracicaba, Nova Piracicaba - DDD 19,13405155.0,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-eletrica-aro-20-1008688328
7,01 Apr,21:01,1013563501.0,Bicicleta  bolt tailg eletrica,4300.0,Taubaté, Vila São José - DDD 12,12070590.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-bolt-tailg-eletrica-1013563501
8,01 Apr,20:53,953233661.0,bicicleta  mtb  oggi 8.3 e-bike 2021   e-7000 vendo ou troco  900 km  assistida elétrica ,16999.0,Americana, Jardim Girassol - DDD 19,13465590.0,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-mtb-oggi-8-3-e-bike-2021-e-7000-vendo-ou-troco-900-km-assistida-eletrica-953233661
9,01 Apr,20:18,985714755.0,Bicicleta Elétrica Trek PowerFly FS 5 Tamanho L,39999.0,São José dos Campos, Parque Residencial Aquarius - DDD 12,12246840.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-eletrica-trek-powerfly-fs-5-tamanho-l-985714755
10,01 Apr,20:01,1012471778.0,"Bike elétrica, pouco uso.",2900.0,São José dos Campos, Jardim Veneza - DDD 12,12237070.0,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-eletrica-pouco-uso-1012471778
11,01 Apr,19:53,1004887106.0,Bicicleta E-Bike Oggi BigWheel 8.0 Shimano Tourney - M,8399.0, , ,13290000.0,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-e-bike-oggi-bigwheel-8-0-shimano-tourney-m-1004887106
12,01 Apr,19:48,1015063961.0,Mini Bicicleta elétrica sbp top,1800.0,Sorocaba, Lopes de Oliveira - DDD 15,18071303.0,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/mini-bicicleta-eletrica-sbp-top-1015063961
13,01 Apr,19:31,1012431932.0,Bicicleta elétrica ,3100.0, , ,16360000.0,https://sp.olx.com.br/regiao-de-presidente-prudente/ciclismo/bicicleta-eletrica-1012431932
14,01 Apr,19:31,1007741558.0,Vende - se Bicicleta elétrica,2600.0,Jales, Vila Nossa Senhora Aparecida - DDD 17,15700680.0,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/vende-se-bicicleta-eletrica-1007741558
15,01 Apr,19:31,1013174038.0,"Bike bicicleta Elétrica 800W Ótimo Estado , Duos E- bike ",3500.0,São Paulo, Jardim das Laranjeiras - DDD 11,2517030.0,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-bicicleta-eletrica-800w-otimo-estado-duos-e-bike-1013174038
