,diaPostagem,hora,codigo,nomeBike,precoBike,cidade,bairro,cep,urlBike
0,Hoje,11:21,1010832676,Sense impact carbono 12 V,12500.0,Jaguariúna, Centro - DDD 19,13910041,https://sp.olx.com.br/grande-campinas/ciclismo/sense-impact-carbono-12-v-1010832676
1,Hoje,11:11,1015293034,Sense Criterium 2018 - Shimano Sora - Tamanho 52 - Aceito Troca(Leia a Descrição),4500.0,São José do Rio Preto, Boa Vista - DDD 17,15025110,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/sense-criterium-2018-shimano-sora-tamanho-52-aceito-troca-leia-a-descricao-1015293034
2,,,,,,,,,
3,Hoje,10:37,1012086343,Bike Sense Fun evo 2021,4800.0,Hortolândia, Jardim Everest - DDD 19,13186054,https://sp.olx.com.br/grande-campinas/ciclismo/bike-sense-fun-evo-2021-1012086343
4,Hoje,10:31,1015271316,Bike sense ,3500.0,São José dos Campos, Jardim Satélite - DDD 12,12230000,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bike-sense-1015271316
5,Hoje,10:01,1014815117,Bicicleta A29 Invictus Factory 2021/22 500km,44990.0, , ,13790000,https://sp.olx.com.br/grande-campinas/ciclismo/bicicleta-a29-invictus-factory-2021-22-500km-1014815117
6,Hoje,09:56,982071806,MTB Sense Impact - 2020 - M / 17,11500.0,Diadema, Serraria - DDD 11,09980550,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/mtb-sense-impact-2020-m-17-982071806
7,Hoje,08:45,1012607988,BIKE SENSE FUN EVO 2021/2022,3800.0,Jundiaí, Vila M Genoveva - DDD 11,13203090,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-sense-fun-evo-2021-2022-1012607988
8,Hoje,06:52,1012343828,Sense impact,4200.0, , ,15895000,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/sense-impact-1012343828
9,,,,,,,,,
10,Hoje,06:40,1015204874,Mtb sense invictus evo 2021 ,24999.0, , ,14735000,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/ciclismo/mtb-sense-invictus-evo-2021-1015204874
11,Ontem,23:19,1000398292,Bicicleta Sense Impact Pro 2020,5600.0,São José dos Campos, Jardim Olímpia - DDD 12,12221290,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/ciclismo/bicicleta-sense-impact-pro-2020-1000398292
