,dayPost,timePost,codeAd,nameAds,valueAds,city,neighborhood,cep,urlAds
0,18/04,10:47,1021682301,Caloi supra alumínio aro 26,700.0,São Paulo,Indianópolis,04089010,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/caloi-supra-aluminio-aro-26-1021682301
1,18/04,10:06,1021663391,Transbike Rack de Bicicleta Thule Euroride,2500.0,São Paulo,Vila Andrade,05717270,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/transbike-rack-de-bicicleta-thule-euroride-1021663391
2,,,,,,,,,
3,17/04,22:01,1019083203,Trek 7100 aro 29,2900.0,São Paulo,Vila da Saúde,04145020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/trek-7100-aro-29-1019083203
4,17/04,22:01,1021565559,Academia completa.,430000.0,Itanhaém, ,11740000,https://sp.olx.com.br/baixada-santista-e-litoral-sul/esportes-e-ginastica/academia-completa-1021565559
5,17/04,21:31,1019080005,Bike aro 29 ,750.0,São Paulo,Vila da Saúde,04145020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bike-aro-29-1019080005
6,17/04,21:31,1018878661,Pedivela Shimano Alivio mc12 ,250.0,São Paulo,Vila da Saúde,04145020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/pedivela-shimano-alivio-mc12-1018878661
7,17/04,21:01,1019069460,Rolo De Treino bicicleta (bike) Magnético,450.0,São Paulo,Jardim das Vertentes,05541030,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/rolo-de-treino-bicicleta-bike-magnetico-1019069460
8,17/04,17:31,1018880400,Câmbio Shimano Alivio VINTAGE ,150.0,São Paulo,Vila da Saúde,04145020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/cambio-shimano-alivio-vintage-1018880400
9,,,,,,,,,
10,17/04,14:31,1019025623,Ciclo Monitor Cardíaco Gps Timex 2.0 T5k615ra/ti,300.0,Santos,Campo Grande,11075401,https://sp.olx.com.br/baixada-santista-e-litoral-sul/ciclismo/ciclo-monitor-cardiaco-gps-timex-2-0-t5k615ra-ti-1019025623
11,17/04,12:31,1019127833,"Mountain Bike Aro 26, 21 Marchas + Acessórios",1000.0,São Paulo,Vila Maria,02121020,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/mountain-bike-aro-26-21-marchas-acessorios-1019127833
12,16/04,20:31,1019607790,Barra Fixa Porta,130.0,São Paulo,Vila Dom Pedro II,02241050,https://sp.olx.com.br/sao-paulo-e-regiao/esportes-e-ginastica/barra-fixa-porta-1019607790
13,16/04,18:31,1019628914,Transbike para duas bikes,110.0,São Carlos,Vila Faria,13569000,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/transbike-para-duas-bikes-1019628914
14,16/04,15:31,1019386522,Capacete Bicicleta Bike Ciclista RAD - Preto,40.0,Indaiatuba,Vila Furlan,13339310,https://sp.olx.com.br/grande-campinas/ciclismo/capacete-bicicleta-bike-ciclista-rad-preto-1019386522
15,16/04,14:51,1021238986,Bicicleta aro 26,290.0,São Paulo,Parque Jabaquara,04355080,https://sp.olx.com.br/sao-paulo-e-regiao/ciclismo/bicicleta-aro-26-1021238986
16,16/04,13:42,1021216470,ROLO DE TREINAMENTO ,600.0,Ribeirão Preto,Parque Residencial Lagoinha,14095110,https://sp.olx.com.br/regiao-de-ribeirao-preto/ciclismo/rolo-de-treinamento-1021216470
17,16/04,12:57,1021197861,Quadro Caloi 10 68 ,250.0,Sorocaba,Jardim Ana Maria,18065215,https://sp.olx.com.br/regiao-de-sorocaba/ciclismo/quadro-caloi-10-68-1021197861
18,,,,,,,,,
