,diaPostagem,hora,codigo,nomeAds,precoAds,cidade,bairro,cep,urlAds
0,Ontem,20:31,1016930046,Vendo Long John Roxy Syncro 3.2 vedado tamanho 8 (M),400.0,Florianópolis, Campeche - DDD 48,88063110,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/vendo-long-john-roxy-syncro-3-2-vedado-tamanho-8-m-1016930046
1,Ontem,18:01,1015931193,Chuteira Futsal Nike Phantom GT Club DF - Ótimo estado de Conservação,115.0,Criciúma, Mina Brasil - DDD 48,88811640,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/chuteira-futsal-nike-phantom-gt-club-df-otimo-estado-de-conservacao-1015931193
2,,,,,,,,,
3,7 abr,20:31,996265414,Cubo Dínamo Shimano Deore Dh-3d72 36 Furos P/ Freio A Disco,200.0,Florianópolis, São João do Rio Vermelho - DDD 48,88060400,https://sc.olx.com.br/florianopolis-e-regiao/ciclismo/cubo-dinamo-shimano-deore-dh-3d72-36-furos-p-freio-a-disco-996265414
4,7 abr,15:01,996312200,Bicicleta retro elos 520 btwin feminina 6marchas,1500.0,Jaraguá do Sul, Nova Brasília - DDD 47,89252278,https://sc.olx.com.br/norte-de-santa-catarina/ciclismo/bicicleta-retro-elos-520-btwin-feminina-6marchas-996312200
5,6 abr,21:53,1017111691,"Esteira Athletic Speedy 120 kg, 12km/h seminova",1699.0,Joinville, Floresta - DDD 47,89211405,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/esteira-athletic-speedy-120-kg-12km-h-seminova-1017111691
6,6 abr,20:01,996098526,Garmin Fenix 3 Safira,2000.0,Criciúma, Comerciário - DDD 48,88802250,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/garmin-fenix-3-safira-996098526
7,6 abr,18:34,1017040550,Elíptico Magnético Act! CLT 21 Premium,1599.0,Joinville, Bom Retiro - DDD 47,89223350,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/eliptico-magnetico-act-clt-21-premium-1017040550
8,5 abr,23:01,995323549,Bicicleta Btwin Riverside 500,1400.0,Florianópolis, Ribeirão da Ilha - DDD 48,88064084,https://sc.olx.com.br/florianopolis-e-regiao/ciclismo/bicicleta-btwin-riverside-500-995323549
9,,,,,,,,,
10,5 abr,22:31,1008017199,Caiaque De Fibra com remo bagageiro e dreno,1399.0,Tubarão, Vila Moema - DDD 48,88705060,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/caiaque-de-fibra-com-remo-bagageiro-e-dreno-1008017199
11,4 abr,09:14,1015837554,Rodas Mavic Ksyrium S M11 8/9/10/11v Tubeless Speed,4249.0,Blumenau, Victor Konder - DDD 47,89012001,https://sc.olx.com.br/norte-de-santa-catarina/ciclismo/rodas-mavic-ksyrium-s-m11-8-9-10-11v-tubeless-speed-1015837554
12,3 abr,19:39,1015717732,Rolo de treinamento Absolute Wild Dinâmico (sem uso) ,475.0,Florianópolis, Lagoa da Conceição - DDD 48,88062060,https://sc.olx.com.br/florianopolis-e-regiao/ciclismo/rolo-de-treinamento-absolute-wild-dinamico-sem-uso-1015717732
13,3 abr,13:48,1015621164,"Relógio/pulseira inteligente Xiaomi Band 5, novo, sem uso",199.0,Jaraguá do Sul, Centro - DDD 47,89251590,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/relogio-pulseira-inteligente-xiaomi-band-5-novo-sem-uso-1015621164
14,3 abr,10:38,1015565765,Kite Duotone NEO SLS - Varios Tamahhos - Gokite ,10879.0,Florianópolis, Lagoa da Conceição - DDD 48,88062325,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/kite-duotone-neo-sls-varios-tamahhos-gokite-1015565765
15,2 abr,18:33,1015441185,Orbitrek Elite Polishop,550.0,Florianópolis, Saco dos Limões - DDD 48,88045401,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/orbitrek-elite-polishop-1015441185
16,2 abr,15:03,1015379848,Dínamo de biscicleta   ,160.0,Florianópolis, São João do Rio Vermelho - DDD 48,88060325,https://sc.olx.com.br/florianopolis-e-regiao/ciclismo/dinamo-de-biscicleta-1015379848
17,1 abr,18:26,1015038252,"Kit Natação R$ 1.800,00 tudo.",1800.0,,,88200000,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/kit-natacao-r-1-800-00-tudo-1015038252
18,,,,,,,,,
19,30 mar,22:37,1014267861,Kite Duotone Neo Sls 12 2021,12990.0,Florianópolis, Rio Tavares - DDD 48,88048416,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/kite-duotone-neo-sls-12-2021-1014267861
20,29 mar,22:31,1004468476,Esteira Elétrica Residencial EVO 1500,4990.0,Joinville, Costa e Silva - DDD 47,89219340,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/esteira-eletrica-residencial-evo-1500-1004468476
21,28 mar,10:50,1012930731,Bicicleta Feminina Decathlon Aro 28 BtWin,1600.0,Florianópolis, Rio Tavares - DDD 48,88048391,https://sc.olx.com.br/florianopolis-e-regiao/ciclismo/bicicleta-feminina-decathlon-aro-28-btwin-1012930731
22,26 mar,21:01,1002955705,Roupa de Borracha truzz ícon 3.2,250.0,São José, Bela Vista - DDD 48,88110800,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/roupa-de-borracha-truzz-icon-3-2-1002955705
23,24 mar,17:48,1011489324,Garmin Forerunner 645 Music ,2200.0,Joinville, Aventureiro - DDD 47,89226000,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/garmin-forerunner-645-music-1011489324
24,23 mar,20:41,1010980434,Bicicleta retro Kayoba City Elegance,1400.0,Itajaí, Centro - DDD 47,88303030,https://sc.olx.com.br/norte-de-santa-catarina/ciclismo/bicicleta-retro-kayoba-city-elegance-1010980434
25,,,,,,,,,
26,19 mar,21:27,1009353918,Nike Odyssey React Feminino nº 39 - NOVO,325.0,Florianópolis, Campeche - DDD 48,88063120,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/nike-odyssey-react-feminino-n-39-novo-1009353918
27,19 mar,10:37,1009132427,Jogo Quem Sou Eu - NOVO,50.0,São José, Barreiros - DDD 48,88117351,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/jogo-quem-sou-eu-novo-1009132427
28,15 mar,20:10,1007416665,Corda escalada usada 40mts,350.0,,,88780000,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/corda-escalada-usada-40mts-1007416665
29,15 mar,20:01,985250215,ketlebell 4 kg emborrachado,50.0,Palhoça, Centro - DDD 48,88131345,https://sc.olx.com.br/florianopolis-e-regiao/esportes-e-ginastica/ketlebell-4-kg-emborrachado-985250215
30,15 mar,16:25,1007318304,Vendo Bike Lowrider ?Leia a Descrição?,5000.0,,,89460000,https://sc.olx.com.br/norte-de-santa-catarina/ciclismo/vendo-bike-lowrider-leia-a-descricao-1007318304
31,15 mar,16:24,1007318206,Abafador Eletrônico Walker's Razor Patriot Series Preto,630.0,São Bento do Sul, Schramm - DDD 47,89280522,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/abafador-eletronico-walker-s-razor-patriot-series-preto-1007318206
32,15 mar,09:50,1007103220,Bicicleta BTWIN Triban,1200.0,Blumenau, Jardim Blumenau - DDD 47,89010401,https://sc.olx.com.br/norte-de-santa-catarina/ciclismo/bicicleta-btwin-triban-1007103220
33,,,,,,,,,
34,14 mar,10:17,1006578734,Hoverboard Skate Elétrico Foston 3000s,980.0,Joinville, Saguaçu - DDD 47,89221400,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/hoverboard-skate-eletrico-foston-3000s-1006578734
35,9 mar,17:19,1004579955,Esteira Elétrica EVO 2800,9690.0,Joinville, Costa e Silva - DDD 47,89219340,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/esteira-eletrica-evo-2800-1004579955
36,9 mar,14:46,1004485080,Esteira Elétrica EVO 2600,7590.0,Joinville, Costa e Silva - DDD 47,89219340,https://sc.olx.com.br/norte-de-santa-catarina/esportes-e-ginastica/esteira-eletrica-evo-2600-1004485080
37,,,,,,,,,
